timestamp,symbol,price
2025-10-27T19:05:42.479842,AAPL,153.82
2025-10-27T19:05:42.490138,AAPL,153.42
2025-10-27T19:05:42.501238,AAPL,152.97
2025-10-27T19:05:42.511550,AAPL,153.95
2025-10-27T19:05:42.521892,AAPL,151.97
2025-10-27T19:05:42.533040,AAPL,154.69
2025-10-27T19:05:42.543336,AAPL,160.68
2025-10-27T19:05:42.553817,AAPL,159.29
2025-10-27T19:05:42.564874,AAPL,161.92
2025-10-27T19:05:42.575865,AAPL,163.11
2025-10-27T19:05:42.586723,AAPL,164.43
2025-10-27T19:05:42.597028,AAPL,166.53
2025-10-27T19:05:42.607329,AAPL,169.25
2025-10-27T19:05:42.617556,AAPL,165.63
2025-10-27T19:05:42.627778,AAPL,165.6
2025-10-27T19:05:42.638023,AAPL,167.54
2025-10-27T19:05:42.648310,AAPL,169.79
2025-10-27T19:05:42.658749,AAPL,173.48
2025-10-27T19:05:42.669725,AAPL,177.39
2025-10-27T19:05:42.680558,AAPL,175.93
2025-10-27T19:05:42.691477,AAPL,175.05
2025-10-27T19:05:42.701826,AAPL,176.61
2025-10-27T19:05:42.712210,AAPL,178.49
2025-10-27T19:05:42.722547,AAPL,172.58
2025-10-27T19:05:42.732869,AAPL,163.09
2025-10-27T19:05:42.743389,AAPL,163.59
2025-10-27T19:05:42.753610,AAPL,161.8
2025-10-27T19:05:42.764566,AAPL,164.18
2025-10-27T19:05:42.775031,AAPL,164.96
2025-10-27T19:05:42.786374,AAPL,169.73
2025-10-27T19:05:42.797065,AAPL,169.27
2025-10-27T19:05:42.807526,AAPL,162.16
2025-10-27T19:05:42.817952,AAPL,162.43
2025-10-27T19:05:42.828228,AAPL,165.84
2025-10-27T19:05:42.839225,AAPL,163.47
2025-10-27T19:05:42.850138,AAPL,165.13
2025-10-27T19:05:42.861231,AAPL,171.16
2025-10-27T19:05:42.871410,AAPL,171.53
2025-10-27T19:05:42.881859,AAPL,172.99
2025-10-27T19:05:42.892251,AAPL,167.3
2025-10-27T19:05:42.902689,AAPL,161.56
2025-10-27T19:05:42.913091,AAPL,165.38
2025-10-27T19:05:42.923617,AAPL,163.95
2025-10-27T19:05:42.933751,AAPL,168.21
2025-10-27T19:05:42.944078,AAPL,173.88
2025-10-27T19:05:42.954490,AAPL,179.34
2025-10-27T19:05:42.964881,AAPL,180.76
2025-10-27T19:05:42.975222,AAPL,181.67
2025-10-27T19:05:42.985574,AAPL,180.49
2025-10-27T19:05:42.996055,AAPL,184.68
2025-10-27T19:05:43.006658,AAPL,190.91
2025-10-27T19:05:43.017217,AAPL,189.7
2025-10-27T19:05:43.027606,AAPL,194.24
2025-10-27T19:05:43.038273,AAPL,188.01
2025-10-27T19:05:43.048994,AAPL,192.06
2025-10-27T19:05:43.059715,AAPL,194.24
2025-10-27T19:05:43.070505,AAPL,196.71
2025-10-27T19:05:43.081172,AAPL,199.69
2025-10-27T19:05:43.092715,AAPL,198.78
2025-10-27T19:05:43.103427,AAPL,193.63
2025-10-27T19:05:43.114143,AAPL,194.98
2025-10-27T19:05:43.124846,AAPL,191.63
2025-10-27T19:05:43.135563,AAPL,194.23
2025-10-27T19:05:43.146274,AAPL,189.04
2025-10-27T19:05:43.156999,AAPL,188.15
2025-10-27T19:05:43.167709,AAPL,187.04
2025-10-27T19:05:43.178101,AAPL,194.42
2025-10-27T19:05:43.188413,AAPL,190.98
2025-10-27T19:05:43.198961,AAPL,194.37
2025-10-27T19:05:43.209434,AAPL,191.87
2025-10-27T19:05:43.219867,AAPL,196.06
2025-10-27T19:05:43.230307,AAPL,198.09
2025-10-27T19:05:43.240796,AAPL,190.66
2025-10-27T19:05:43.251339,AAPL,192.93
2025-10-27T19:05:43.261963,AAPL,183.43
2025-10-27T19:05:43.272844,AAPL,179.48
2025-10-27T19:05:43.283221,AAPL,177.94
2025-10-27T19:05:43.293597,AAPL,180.63
2025-10-27T19:05:43.304000,AAPL,181.95
2025-10-27T19:05:43.314387,AAPL,184.98
2025-10-27T19:05:43.324792,AAPL,186.63
2025-10-27T19:05:43.335265,AAPL,183.19
2025-10-27T19:05:43.345841,AAPL,177.85
2025-10-27T19:05:43.356456,AAPL,180.03
2025-10-27T19:05:43.367085,AAPL,175.89
2025-10-27T19:05:43.377694,AAPL,177.84
2025-10-27T19:05:43.388373,AAPL,182.09
2025-10-27T19:05:43.399038,AAPL,179.32
2025-10-27T19:05:43.409388,AAPL,178.56
2025-10-27T19:05:43.420061,AAPL,184.08
2025-10-27T19:05:43.430786,AAPL,184.24
2025-10-27T19:05:43.441502,AAPL,184.44
2025-10-27T19:05:43.452201,AAPL,188.84
2025-10-27T19:05:43.462924,AAPL,189.84
2025-10-27T19:05:43.473817,AAPL,193.43
2025-10-27T19:05:43.484758,AAPL,192.85
2025-10-27T19:05:43.495205,AAPL,194.25
2025-10-27T19:05:43.505593,AAPL,192.72
2025-10-27T19:05:43.515915,AAPL,191.46
2025-10-27T19:05:43.526298,AAPL,193.12
2025-10-27T19:05:43.536687,AAPL,187.12
2025-10-27T19:05:43.547014,AAPL,189.21
2025-10-27T19:05:43.557976,AAPL,186.02
2025-10-27T19:05:43.568343,AAPL,183.08
2025-10-27T19:05:43.578602,AAPL,178.63
2025-10-27T19:05:43.589001,AAPL,180.89
2025-10-27T19:05:43.599418,AAPL,179.12
2025-10-27T19:05:43.609908,AAPL,176.69
2025-10-27T19:05:43.620524,AAPL,178.2
